time,cpu,ram,swap,temp,disk,net_sent,net_recv,free_disk_gb,used_disk_gb,total_disk_gb,load1,load5,load15,procs,ctx_switches,interrupts,soft_interrupts
0.9628376960754395,51.5,36.1,98.5,64.0,84.0,58239599,495569865,12.531261444091797,65.66836929321289,82.43073272705078,3.9091796875,2.4248046875,1.99560546875,349,81844467,52460674,39234573
5.0717267990112305,100.0,36.3,98.5,65.0,84.0,58240077,495570125,12.531253814697266,65.66837692260742,82.43073272705078,5.83837890625,2.849609375,2.1357421875,355,81925727,52517241,39253217
6.099201679229736,100.0,36.2,98.5,65.0,84.0,58240543,495570299,12.531253814697266,65.66837692260742,82.43073272705078,5.83837890625,2.849609375,2.1357421875,355,81933530,52532877,39256475
17.083455085754395,100.0,95.4,100.0,66.0,84.0,58242259,495571563,12.532123565673828,65.66750717163086,82.43073272705078,7.09375,3.21728515625,2.26318359375,353,82009360,52681994,39327456
18.13361167907715,100.0,95.5,100.0,64.0,84.0,58242725,495571847,12.532123565673828,65.66750717163086,82.43073272705078,7.88720703125,3.4462890625,2.3427734375,354,82016332,52696965,39331051
19.193714380264282,100.0,95.5,100.0,65.0,84.0,58242725,495571847,12.532123565673828,65.66750717163086,82.43073272705078,7.88720703125,3.4462890625,2.3427734375,354,82020489,52710919,39332393
23.027514457702637,100.0,95.6,100.0,66.0,84.3,58243449,495572588,12.282115936279297,65.91751480102539,82.43073272705078,8.216796875,3.58837890625,2.39501953125,355,82093189,52768150,39349871
24.05637526512146,100.0,95.6,100.0,65.0,84.3,58243915,495572867,12.282115936279297,65.91751480102539,82.43073272705078,8.216796875,3.58837890625,2.39501953125,355,82099007,52782786,39353011
27.756020307540894,100.0,95.6,100.0,64.0,84.3,58244948,495573712,12.282112121582031,65.91751861572266,82.43073272705078,8.216796875,3.58837890625,2.39501953125,356,82162030,52841855,39381891
28.809473991394043,100.0,95.5,100.0,65.0,84.3,58245120,495574153,12.282112121582031,65.91751861572266,82.43073272705078,8.60009765625,3.74462890625,2.4521484375,356,82169960,52858361,39387638
29.837964057922363,100.0,95.5,100.0,66.0,84.3,58245500,495574327,12.2821044921875,65.91752624511719,82.43073272705078,8.60009765625,3.74462890625,2.4521484375,356,82180143,52875552,39396175
30.867437839508057,100.0,95.5,100.0,66.0,84.3,58245615,495574484,12.2821044921875,65.91752624511719,82.43073272705078,8.60009765625,3.74462890625,2.4521484375,359,82190627,52892661,39407050
32.82971429824829,100.0,94.7,100.0,65.0,84.3,58246081,495574907,12.2821044921875,65.91752624511719,82.43073272705078,8.60009765625,3.74462890625,2.4521484375,355,82216755,52922741,39415997
40.06611227989197,100.0,95.6,100.0,64.0,84.3,58253547,495584287,12.282096862792969,65.91753387451172,82.43073272705078,9.65185546875,4.1318359375,2.5927734375,356,82314520,53023632,39439401
41.10230326652527,100.0,95.6,100.0,66.0,84.3,58253633,495584403,12.282096862792969,65.91753387451172,82.43073272705078,9.65185546875,4.1318359375,2.5927734375,359,82319344,53038313,39442326
42.176400899887085,100.0,95.6,100.0,66.0,84.3,58254099,495584683,12.282096862792969,65.91753387451172,82.43073272705078,9.65185546875,4.1318359375,2.5927734375,356,82323745,53052310,39444315
43.223676681518555,100.0,95.6,100.0,66.0,84.3,58254205,495584769,12.282096862792969,65.91753387451172,82.43073272705078,9.84033203125,4.2626953125,2.6435546875,356,82325738,53065685,39445308
44.286810874938965,100.0,95.6,100.0,66.0,84.3,58254733,495585380,12.282096862792969,65.91753387451172,82.43073272705078,9.84033203125,4.2626953125,2.6435546875,356,82327639,53078610,39446514
54.011472940444946,100.0,94.0,100.0,65.0,85.6,58262689,495595054,11.28207778930664,66.91755294799805,82.43073272705078,10.80078125,4.650390625,2.787109375,354,82424674,53217808,39470497
55.04253387451172,100.0,94.0,100.0,64.0,85.6,58263440,495596229,11.282073974609375,66.91755676269531,82.43073272705078,10.80078125,4.650390625,2.787109375,354,82429586,53231870,39472781
56.076977014541626,100.0,94.0,100.0,66.0,85.6,58263879,495596548,11.282073974609375,66.91755676269531,82.43073272705078,10.80078125,4.650390625,2.787109375,354,82432980,53245731,39474412
57.119978189468384,100.0,94.0,100.0,65.0,85.6,58264345,495596880,11.282073974609375,66.91755676269531,82.43073272705078,10.80078125,4.650390625,2.787109375,357,82434741,53258647,39476126
61.08415460586548,100.0,94.1,100.0,66.0,85.6,58265641,495598340,11.282066345214844,66.91756439208984,82.43073272705078,10.97705078125,4.7890625,2.84228515625,355,82497768,53316684,39493240
62.1119601726532,100.0,94.2,100.0,66.0,85.6,58265727,495598464,11.282066345214844,66.91756439208984,82.43073272705078,10.97705078125,4.7890625,2.84228515625,358,82503176,53331260,39496011
63.16355109214783,100.0,94.5,100.0,65.0,85.6,58266107,495598638,11.282066345214844,66.91756439208984,82.43073272705078,11.21923828125,4.9423828125,2.90234375,355,82509813,53346169,39499480
67.29211378097534,100.0,94.9,100.0,65.0,85.6,58267003,495599629,11.282062530517578,66.91756820678711,82.43073272705078,11.21923828125,4.9423828125,2.90234375,457,82569875,53412527,39533642
68.32140398025513,100.0,95.0,100.0,66.0,85.6,58267193,495599803,11.282062530517578,66.91756820678711,82.43073272705078,11.2822265625,5.0595703125,2.95166015625,457,82576964,53427328,39538225
72.24681258201599,100.0,95.4,100.0,66.0,85.6,58267989,495600150,11.282058715820312,66.91757202148438,82.43073272705078,11.2822265625,5.0595703125,2.95166015625,459,82769490,53517173,39559866
73.27408766746521,100.0,95.3,100.0,65.0,85.6,58268075,495600284,11.282058715820312,66.91757202148438,82.43073272705078,11.5,5.2080078125,3.01123046875,459,82821804,53543592,39563801
77.53307867050171,100.0,95.4,100.0,66.0,85.6,58269602,495601954,11.282051086425781,66.9175796508789,82.43073272705078,11.5,5.2080078125,3.01123046875,459,83068663,53650363,39582991
78.56317067146301,100.0,95.3,100.0,66.0,85.6,58269878,495602131,11.282051086425781,66.9175796508789,82.43073272705078,11.7802734375,5.37060546875,3.07568359375,456,83124166,53677881,39588701
79.59473657608032,100.0,95.2,100.0,66.0,85.6,58269878,495602131,11.282051086425781,66.9175796508789,82.43073272705078,11.7802734375,5.37060546875,3.07568359375,456,83172418,53702526,39590496
80.62330317497253,99.9,95.2,100.0,66.0,85.6,58270258,495602305,11.282051086425781,66.9175796508789,82.43073272705078,11.7802734375,5.37060546875,3.07568359375,456,83217918,53726915,39591660
81.6530373096466,100.0,95.2,100.0,66.0,85.6,58270344,495602775,11.282051086425781,66.9175796508789,82.43073272705078,11.7802734375,5.37060546875,3.07568359375,456,83264821,53751196,39592483
82.67896747589111,100.0,95.2,100.0,66.0,85.6,58270344,495602775,11.282051086425781,66.9175796508789,82.43073272705078,11.7802734375,5.37060546875,3.07568359375,456,83311377,53775455,39593611
85.16132593154907,8.9,52.0,99.8,55.0,84.0,58270979,495603075,12.532051086425781,65.6675796508789,82.43073272705078,11.0771484375,5.3310546875,3.0751953125,455,83355898,53795396,39602637
86.18524694442749,2.5,52.0,99.8,55.0,84.0,58270979,495603075,12.532051086425781,65.6675796508789,82.43073272705078,11.0771484375,5.3310546875,3.0751953125,455,83363386,53799096,39604945
87.22575759887695,1.7,52.0,99.8,54.0,84.0,58271359,495603309,12.532051086425781,65.6675796508789,82.43073272705078,11.0771484375,5.3310546875,3.0751953125,455,83373732,53803243,39608122
88.29242730140686,3.2,51.9,99.8,58.0,84.0,58271465,495603395,12.53204345703125,65.66758728027344,82.43073272705078,10.27001953125,5.2587890625,3.06396484375,455,83386629,53807927,39611245
